time,force,rate
3426.65,60.16340986694506,38474.674417740665
3426.7000000000003,60.1629931032883,38475.30939783057
3426.75,60.16257636533832,38475.94437802337
3426.8,60.16215965257924,38476.5793583191
3426.8500000000004,60.16174296451954,38477.214338717764
3426.9,60.16132630368947,38477.84931921923
3426.9500000000003,60.160909673346296,38478.48429982333
3427.0,60.160493076493125,38479.1192805299
3427.05,60.16007651561108,38479.754261338814
3427.1000000000004,60.1596599951533,38480.38924224985
3427.15,60.159243519785875,38481.024223262735
3427.2000000000003,60.1588270936869,38481.659204377254
3427.25,60.1584107218663,38482.294185593164
3427.3,60.15799440912396,38482.9291669102
3427.3500000000004,60.157578159665036,38483.56414832813
3427.4,60.15716197704237,38484.19912984676
3427.4500000000003,60.156745864202506,38484.83411146594
3427.5,60.15632982355276,38485.46909318553
3427.55,60.155913857820686,38486.10407500534
3427.6000000000004,60.15549796954247,38486.73905692527
3427.65,60.15508216086182,38487.374038945156
3427.7000000000003,60.154666433498114,38488.00902106492
3427.75,60.15425078877211,38488.64400328446
3427.8,60.153835229682215,38489.2789856036
3427.8500000000004,60.153419759486376,38489.91396802218
3427.9,60.153004381104715,38490.54895054
3427.9500000000003,60.15258909696762,38491.183933156935
3428.0,60.15217390901881,38491.81891587286
3428.05,60.15175881876071,38492.45389868766
3428.1000000000004,60.15134382730385,38493.08888160128
3428.15,60.15092893541215,38493.72386461363
3428.2000000000003,60.15051414403794,38494.35884772467
3428.25,60.15009945400165,38494.993830934305
3428.3,60.149684865862504,38495.6288142425
3428.3500000000004,60.14927037989536,38496.2637976492
3428.4,60.14885599610629,38496.89878115439
3428.4500000000003,60.148441714256684,38497.53376475805
3428.5,60.148027533886335,38498.168748460186
3428.55,60.147613454335456,38498.80373226081
3428.6000000000004,60.147199474762296,38499.438716159915
3428.65,60.14678559415988,38500.07370015755
3428.7000000000003,60.146371811369406,38500.708684253725
3428.75,60.145958126221885,38501.343668448455
3428.8,60.14554453922207,38501.97865274167
3428.8500000000004,60.1451310508616,38502.61363713333
3428.9,60.144717661378166,38503.24862162339
3428.9500000000003,60.14430437071199,38503.88360621182
3429.0,60.143891178521734,38504.518590898646
3429.05,60.14347808421639,38505.153575683835
3429.1000000000004,60.14306508698483,38505.78856056742
3429.15,60.14265218582151,38506.42354554944
3429.2000000000003,60.14223937954833,38507.0585306299
3429.25,60.14182666683231,38507.693515808875
3429.3,60.14141404620085,38508.32850108639
3429.3500000000004,60.141001516055354,38508.96348646252
3429.4,60.140589074681436,38509.59847193731
3429.4500000000003,60.14017672026003,38510.233457510854
3429.5,60.13976445144554,38510.86844318318
3429.55,60.13935226696613,38511.50342895434
3429.6000000000004,60.138940165454486,38512.13841482438
3429.65,60.13852814540415,38512.77340079335
3429.7000000000003,60.13811620516947,38513.4083868613
3429.75,60.13770434297669,38514.04337302833
3429.8,60.137292556937865,38514.67835929449
3429.8500000000004,60.13688084506273,38515.31334565987
3429.9,60.136469205269336,38515.94833212456
3429.9500000000003,60.136057635392525,38516.583318688645
3430.0,60.135646133192246,38517.21830535222
3430.05,60.135234696359724,38517.85329211539
3430.1000000000004,60.134823322523296,38518.48827897825
3430.15,60.13441200925401,38519.12326594091
3430.2000000000003,60.134000754069724,38519.75825300348
3430.25,60.133589554439475,38520.393240166064
3430.3,60.13317840778724,38521.0282274288
3430.3500000000004,60.13276731149552,38521.663214791784
3430.4,60.13235626290794,38522.298202255144
3430.4500000000003,60.13194525933246,38522.933189819014
3430.5,60.13153429883071,38523.56817748346
3430.55,60.131123379656614,38524.203165248575
3430.6000000000004,60.130712500014575,38524.83815311443
3430.65,60.130301657993904,38525.473141081115
3430.7000000000003,60.129890851562095,38526.10812914872
3430.75,60.129480078577096,38526.74311731735
3430.8,60.1290693378581,38527.37810558706
3430.8500000000004,60.12865862843275,38528.01309395788
3430.9,60.12824794922638,38528.648082429856
3430.9500000000003,60.127837298982826,38529.28307100304
3431.0,60.127426676261905,38529.918059677504
3431.05,60.127016079457825,38530.55304845332
3431.1000000000004,60.12660551110932,38531.188037330365
3431.15,60.12619497488279,38531.82302630843
3431.2000000000003,60.125784474244035,38532.45801538734
3431.25,60.125374012079085,38533.09300456694
3431.3,60.12496359065488,38533.72799384712
3431.3500000000004,60.1245532116776,38534.362983227766
3431.4,60.124142876368026,38534.997972708814
3431.4500000000003,60.12373258552868,38535.632962290205
3431.5,60.12332233960056,38536.26795197192
3431.55,60.122912138709054,38536.90294175392
3431.6000000000004,60.122501982702055,38537.53793163624
3431.65,60.12209187118155,38538.17292161885
3431.7000000000003,60.121681803529746,38538.80791170177
3431.75,60.12127177893177,38539.44290188506
3431.8,60.120861796395204,38540.07789216873
3431.8500000000004,60.1204518547665,38540.71288255285
3431.9,60.120041955764016,38541.3478730373
3431.9500000000003,60.11963210292173,38541.98286362193
3432.0,60.11922229988679,38542.6178543065
3432.05,60.11881254982462,38543.252845090865
3432.1000000000004,60.118402855300374,38543.88783597487
3432.15,60.11799321920003,38544.52282695838
3432.2000000000003,60.11758364472491,38545.15781804119
3432.25,60.11717413478214,38545.792809223145
3432.3,60.116764691790586,38546.42780050413
3432.3500000000004,60.11635531766891,38547.062791884
3432.4,60.11594601446489,38547.69778336266
3432.4500000000003,60.11553678399831,38548.33277493998
3432.5,60.115127627719296,38548.9677666159
3432.55,60.11471854669221,38549.602758390305
3432.6000000000004,60.11430954162304,38550.23775026317
3432.65,60.11390061289647,38550.87274223445
3432.7000000000003,60.113491760610785,38551.50773430413
3432.75,60.11308298460871,38552.142726472186
3432.8,60.112674284503065,38552.77771873862
3432.8500000000004,60.11226565969948,38553.41271110345
3432.9,60.11185710941543,38554.04770356668
3432.9500000000003,60.11144863269709,38554.68269612835
3433.0,60.11104022843396,38555.31768878851
3433.05,60.11063189537177,38555.95268154719
3433.1000000000004,60.11022363212436,38556.58767440445
3433.15,60.1098154386503,38557.22266736026
3433.2000000000003,60.10940731567608,38557.857660414586
3433.25,60.10899926391977,38558.49265356735
3433.3,60.108591283826925,38559.12764681854
3433.3500000000004,60.10818337552199,38559.762640168105
3433.4,60.10777553882712,38560.397633616056
3433.4500000000003,60.10736777329621,38561.032627162385
3433.5,60.106960078247646,38561.667620807115
3433.55,60.106552452792805,38562.30261455027
3433.6000000000004,60.106144895859245,38562.9376083919
3433.65,60.10573740621066,38563.572602332024
3433.7000000000003,60.105329982463246,38564.20759637071
3433.75,60.10492262564618,38564.8425905079
3433.8,60.10451533740606,38565.47758474347
3433.8500000000004,60.10410811922032,38566.11257907735
