MU,ISI,Force Level
MU_2,0.09999999999999432,5
MU_2,0.09023437499999432,5
MU_2,0.1083984375,5
MU_2,0.1259765625,5
MU_2,0.12539062500000853,5
MU_2,0.12099609374999432,5
MU_2,0.12851562500000568,5
MU_2,0.107421875,5
MU_2,0.10537109374999432,5
MU_2,0.10283203125000284,5
MU_2,0.11503906250000284,5
MU_2,0.10419921874999716,5
MU_2,0.10419921874999716,5
MU_2,0.1005859375,5
MU_2,0.09716796875,5
MU_2,0.12021484375000568,5
MU_2,0.12236328125000284,5
MU_2,0.13935546874999716,5
MU_2,0.12734374999999432,5
MU_2,0.12773437500000284,5
MU_2,0.12343749999999432,5
MU_2,0.13564453125000853,5
MU_2,0.12919921875000284,5
MU_2,0.13134765625,5
MU_2,0.12050781249999432,5
MU_2,0.10908203124999716,5
MU_2,0.11904296875000853,5
MU_2,0.11396484374999716,5
MU_2,0.14121093749999147,5
MU_2,0.14072265625000568,5
MU_2,0.13017578125000284,5
MU_2,0.12802734374999147,5
MU_2,0.15214843750000284,5
MU_2,0.11953125000000853,5
MU_2,0.13359374999998863,5
MU_2,0.1416015625,5
MU_2,0.12158203125,5
MU_2,0.11757812500000853,5
MU_2,0.12177734374999716,5
MU_2,0.12363281250000568,5
MU_2,0.11845703124998863,5
MU_2,0.12451171875,5
MU_2,0.12392578125000853,5
MU_2,0.13525390625,5
MU_2,0.12812499999999716,5
MU_2,0.14697265625,5
MU_2,0.1298828125,5
MU_2,0.12529296875000284,5
MU_2,0.11044921874999147,5
MU_2,0.14101562500000853,5
MU_2,0.14414062499999147,5
MU_2,0.12666015625001137,5
MU_2,0.1318359375,5
MU_2,0.14335937499998863,5
MU_2,0.12275390625001137,5
MU_2,0.12812499999999716,5
MU_2,0.14218749999999147,5
MU_2,0.13623046875,5
MU_2,0.1279296875,5
MU_2,0.13125000000000853,5
MU_2,0.13232421875,5
MU_2,0.14384765625000284,5
MU_2,0.16435546874998863,5
MU_2,0.12353515625,5
MU_2,0.1337890625,5
MU_2,0.12490234375000853,5
MU_2,0.1640625,5
MU_2,0.13955078124999432,5
MU_2,0.15839843749999716,5
MU_2,0.14687500000000853,5
MU_2,0.12431640625000284,5
MU_2,0.15156249999999716,5
MU_2,0.12871093750000284,5
MU_2,0.14892578125,5
MU_2,0.13154296874999716,5
MU_2,0.14589843749999432,5
MU_2,0.15458984375000284,5
MU_2,0.12353515625,5
MU_2,0.13339843750000568,5
MU_2,0.12744140625,5
MU_2,0.12734374999999432,5
MU_2,0.14052734374999432,5
MU_2,0.15966796875,5
MU_2,0.14814453125001137,5
MU_2,0.11542968749999716,5
MU_2,0.11386718749999147,5
MU_2,0.11660156250000853,5
MU_2,0.14912109374999716,5
MU_2,0.12294921874999432,5
MU_2,0.13935546875001137,5
MU_2,0.13681640624999147,5
MU_2,0.15009765624999716,5
MU_2,0.16191406250000284,5
MU_2,0.12490234375000853,5
MU_2,0.146484375,5
MU_2,0.12832031249999432,5
MU_2,0.15009765624999716,5
MU_2,0.13515625000000853,5
MU_2,0.12324218749999716,5
MU_2,0.15703125000000284,5
MU_2,0.14345703124999432,5
MU_2,0.15000000000000568,5
MU_2,0.12333984374998863,5
MU_2,0.13925781250000568,5
MU_2,0.13320312499999432,5
MU_2,0.11767578125,5
MU_2,0.126953125,5
MU_2,0.14121093750000568,5
MU_2,0.14414062500000568,5
MU_2,0.13906249999999432,5
MU_2,0.11220703124999432,5
MU_2,0.12382812500000284,5
MU_2,0.12968750000000284,5
MU_2,0.15302734374999716,5
MU_2,0.13554687500000284,5
MU_2,0.1171875,5
MU_2,0.12783203124999432,5
MU_2,0.12109375,5
MU_2,0.12939453125,5
MU_2,0.13310546875000284,5
MU_2,0.10361328125000568,5
MU_2,0.12050781249999432,5
MU_2,0.14755859375000568,5
MU_2,0.12773437500000284,5
MU_2,0.10605468749999147,5
MU_2,0.12851562500000568,5
MU_2,0.15214843750000284,5
MU_2,0.10673828124998863,5
MU_2,0.13906250000000853,5
MU_2,0.13134765625,5
MU_2,0.13437499999999147,5
MU_2,0.12607421875000568,5
MU_2,0.12509765625000568,5
MU_2,0.12802734374999147,5
MU_2,0.12509765625000568,5
MU_2,0.12294921874999432,5
MU_2,0.13759765625000853,5
MU_2,0.123046875,5
MU_2,0.14296874999999432,5
MU_2,0.13417968749999432,5
MU_2,0.12714843750001137,5
MU_2,0.12783203124999432,5
MU_2,0.12392578124999432,5
MU_2,0.13876953125000568,5
MU_2,0.13261718750000284,5
MU_2,0.13369140624999432,5
MU_2,0.12148437500000853,5
MU_2,0.15253906249999716,5
MU_2,0.1337890625,5
MU_2,0.14521484374999716,5
MU_2,0.11572265625,5
MU_2,0.13847656250000284,5
MU_2,0.12333984375000284,5
MU_2,0.15156249999999716,5
MU_2,0.11025390624999432,5
MU_2,0.11611328125000853,5
MU_2,0.12578124999998863,5
MU_2,0.13105468750001137,5
MU_2,0.11962890625,5
MU_2,0.14667968749999716,5
MU_2,0.11083984375,5
MU_2,0.11669921875,5
MU_2,0.13437499999999147,5
MU_2,0.12968750000000284,5
MU_2,0.12060546875,5
MU_2,0.11552734375000284,5
MU_2,0.11767578125,5
MU_2,0.12167968750000568,5
MU_2,0.1328125,5
MU_2,0.14208984375,5
MU_2,0.25166015624999716,5
MU_3,0.12832031250000142,5
MU_3,0.09980468750000426,5
MU_3,0.11982421874999716,5
MU_3,0.12216796874999858,5
MU_3,0.11406250000000284,5
MU_3,0.16367187499999858,5
MU_3,0.11699218750000284,5
MU_3,0.13193359374999858,5
MU_3,0.11093749999999858,5
MU_3,0.10673828125000284,5
MU_3,0.09892578124999574,5
MU_3,0.10673828125000284,5
MU_3,0.13349609374999716,5
MU_3,0.11123046875000142,5
MU_3,0.11884765624999716,5
MU_3,0.10380859375000284,5
MU_3,0.12363281249999858,5
MU_3,0.10410156249999858,5
MU_3,0.12060546875,5
MU_3,0.11152343750000426,5
MU_3,0.11357421874999574,5
MU_3,0.11884765625000426,5
MU_3,0.09755859375000142,5
MU_3,0.09843749999999574,5
MU_3,0.10146484375000142,5
MU_3,0.11093749999999858,5
MU_3,0.09560546875000142,5
MU_3,0.10371093749999716,5
MU_3,0.08417968750000426,5
MU_3,0.1298828125,5
MU_3,0.1103515625,5
MU_3,0.10498046875,5
MU_3,0.10791015625,5
MU_3,0.10537109375000142,5
MU_3,0.10048828124999432,5
MU_3,0.11201171875000426,5
MU_3,0.10654296874999858,5
MU_3,0.10332031250000284,5
MU_3,0.11298828124999716,5
MU_3,0.10781250000000142,5
MU_3,0.10117187499999858,5
MU_3,0.11748046875000284,5
MU_3,0.10078124999999716,5
MU_3,0.10605468749999858,5
MU_3,0.1044921875,5
MU_3,0.10976562500000142,5
MU_3,0.09941406250000284,5
MU_3,0.10585937499999432,5
MU_3,0.09687500000000426,5
MU_3,0.09140624999999858,5
MU_3,0.10761718749999716,5
MU_3,0.10869140625000284,5
MU_3,0.10361328124999858,5
MU_3,0.10185546875000284,5
MU_3,0.10136718749999574,5
MU_3,0.10791015625,5
MU_3,0.10390625000000142,5
MU_3,0.11376953125,5
MU_3,0.10087890625000284,5
MU_3,0.10927734375000142,5
MU_3,0.10624999999999574,5
MU_3,0.11162109375000284,5
MU_3,0.10566406249999716,5
MU_3,0.12509765624999858,5
MU_3,0.09091796875000568,5
MU_3,0.09951171874999432,5
MU_3,0.11220703125000142,5
MU_3,0.10146484375000142,5
MU_3,0.11054687499999716,5
MU_3,0.0908203125,5
MU_3,0.11181640625,5
MU_3,0.11337890625000568,5
MU_3,0.10136718749999574,5
MU_3,0.12236328125000284,5
MU_3,0.08876953125000142,5
MU_3,0.10517578124999716,5
MU_3,0.10439453125000142,5
MU_3,0.09394531249999716,5
MU_3,0.09355468750000284,5
MU_3,0.10400390625,5
MU_3,0.09492187499999716,5
MU_3,0.09296875000000426,5
MU_3,0.09228515625,5
MU_3,0.10107421875,5
