Folder,File,Muscle,Force_Level,Plateau,MU,ISI_Mean_ms,ISI_SD_ms,ISI_CV,Firing_Rate_Hz,Num_Spikes
P01_iEMG_Ramps,VM_30.mat,VM,30,2,8,83.28898111979167,7.07068088150223,0.08489335307551323,12.006390119741463,241
P01_iEMG_Ramps,VM_30.mat,VM,30,2,9,64.90399249188312,7.594819392455444,0.11701621272998347,15.407372668562106,309
P01_iEMG_Ramps,VM_30.mat,VM,30,3,1,123.84874805900621,18.417430459639508,0.148709056395667,8.074365027279583,162
P01_iEMG_Ramps,VM_30.mat,VM,30,3,2,110.7861328125,11.934138381164798,0.1077223121540196,9.026400458371898,181
P01_iEMG_Ramps,VM_30.mat,VM,30,3,3,104.55763252617801,18.082493948019973,0.17294284033729124,9.564103316413853,192
P01_iEMG_Ramps,VM_30.mat,VM,30,3,4,74.05707465277777,7.039767074097885,0.09505867072260642,13.503098855694423,271
P01_iEMG_Ramps,VM_30.mat,VM,30,3,5,79.28951202876983,8.030760707373863,0.10128402233652212,12.612008504191003,253
P01_iEMG_Ramps,VM_30.mat,VM,30,3,6,105.79788773148148,11.59679012272951,0.10961268104106714,9.451984547536837,190
P01_iEMG_Ramps,VM_30.mat,VM,30,3,7,98.37126779084159,12.968554151896988,0.13183274388077335,10.165569911391348,203
P01_iEMG_Ramps,VM_30.mat,VM,30,3,8,87.8966478524229,7.338711273663595,0.08349250458316881,11.376998149906518,228
P01_iEMG_Ramps,VM_30.mat,VM,30,3,9,68.7976535652921,9.481404683019536,0.13781581480858576,14.535379452308714,292
P01_iEMG_Ramps,VM_30.mat,VM,30,4,1,119.14411272321429,14.125110945915502,0.11855483769248243,8.393196920464858,169
P01_iEMG_Ramps,VM_30.mat,VM,30,4,2,107.56915118243244,11.984356791679657,0.11141072193973835,9.296345550817307,186
P01_iEMG_Ramps,VM_30.mat,VM,30,4,3,101.7226165926396,13.939369800201742,0.137033142354405,9.830655497239318,198
P01_iEMG_Ramps,VM_30.mat,VM,30,4,4,70.60408844964664,6.717828123484443,0.09514786283623586,14.163485740817674,284
P01_iEMG_Ramps,VM_30.mat,VM,30,4,5,77.20521438953489,7.218268290542156,0.09349456960410418,12.952493013678481,259
P01_iEMG_Ramps,VM_30.mat,VM,30,4,6,101.7319036989796,10.951486889837266,0.10765046648731015,9.829758056616711,197
P01_iEMG_Ramps,VM_30.mat,VM,30,4,7,97.03410823170732,9.414929774229982,0.09702701396243177,10.30565456027178,206
P01_iEMG_Ramps,VM_30.mat,VM,30,4,8,86.19931977370689,6.010027540269701,0.06972244741660852,11.601019620865117,233
P01_iEMG_Ramps,VM_30.mat,VM,30,4,9,67.15505715184564,7.566328619463882,0.11266952840730231,14.890911309015493,299
P02_iEMG_Ramps,VL_05.mat,VL,5,1,1,127.3017640326433,11.226731929720714,0.08818991641656987,7.855350690533836,315
P02_iEMG_Ramps,VL_05.mat,VL,5,1,2,130.97726922286185,10.740963725170657,0.08200631902696472,7.634912576307186,305
P02_iEMG_Ramps,VL_05.mat,VL,5,1,3,142.81821130415162,14.617915766978351,0.10235330378033812,7.001908166111662,278
P02_iEMG_Ramps,VL_05.mat,VL,5,1,4,134.92885044642858,25.009877958734663,0.1853560441372355,7.411313419564295,281
P02_iEMG_Ramps,VL_05.mat,VL,5,1,5,121.7892530487805,8.350112757443119,0.06856198349536335,8.210905108347022,329
P02_iEMG_Ramps,VL_05.mat,VL,5,1,6,119.80896912537537,7.226724743167371,0.06031872902274026,8.346620518481712,334
P02_iEMG_Ramps,VL_05.mat,VL,5,1,7,146.9767563215649,16.84163717639265,0.114587078922503,6.803796906581186,263
P02_iEMG_Ramps,VL_05.mat,VL,5,1,8,152.0527422188755,41.407947729312404,0.2723262147400595,6.576665342612033,250
